[['0.000000', '0.000000', '0.000000'], ['0.000000', '9.500000', '0.000000']]
[['0.000000', '9.500000', '0.000000'], ['0.000000', '19.000000', '0.000000']]
[['0.000000', '19.000000', '0.000000'], ['32.858000', '19.000000', '0.000000']]
[['32.858000', '19.000000', '0.000000'], ['33.943391', '18.694362', '0.000000']]
[['33.943391', '18.694362', '0.000000'], ['35.033196', '18.404861', '0.000000']]
[['35.033196', '18.404861', '0.000000'], ['36.127177', '18.131560', '0.000000']]
[['36.127177', '18.131560', '0.000000'], ['37.225092', '17.874521', '0.000000']]
[['37.225092', '17.874521', '0.000000'], ['38.326700', '17.633799', '0.000000']]
[['38.326700', '17.633799', '0.000000'], ['39.431759', '17.409448', '0.000000']]
[['39.431759', '17.409448', '0.000000'], ['40.540024', '17.201516', '0.000000']]
[['40.540024', '17.201516', '0.000000'], ['41.651252', '17.010050', '0.000000']]
[['41.651252', '17.010050', '0.000000'], ['42.765198', '16.835092', '0.000000']]
[['42.765198', '16.835092', '0.000000'], ['43.881618', '16.676680', '0.000000']]
[['43.881618', '16.676680', '0.000000'], ['45.000265', '16.534850', '0.000000']]
[['45.000265', '16.534850', '0.000000'], ['46.120893', '16.409631', '0.000000']]
[['46.120893', '16.409631', '0.000000'], ['47.243256', '16.301053', '0.000000']]
[['47.243256', '16.301053', '0.000000'], ['48.367106', '16.209139', '0.000000']]
[['48.367106', '16.209139', '0.000000'], ['49.492196', '16.133908', '0.000000']]
[['49.492196', '16.133908', '0.000000'], ['50.618279', '16.075379', '0.000000']]
[['50.618279', '16.075379', '0.000000'], ['51.745105', '16.033563', '0.000000']]
[['51.745105', '16.033563', '0.000000'], ['52.872429', '16.008469', '0.000000']]
[['52.872429', '16.008469', '0.000000'], ['54.000000', '16.000000', '0.000000']]
[['54.000000', '16.000000', '0.000000'], ['82.500000', '16.000000', '0.000000']]
[['82.500000', '16.000000', '0.000000'], ['111.000000', '16.000000', '0.000000']]
[['111.000000', '16.000000', '0.000000'], ['112.127571', '16.008469', '0.000000']]
[['112.127571', '16.008469', '0.000000'], ['113.254895', '16.033563', '0.000000']]
[['113.254895', '16.033563', '0.000000'], ['114.381721', '16.075379', '0.000000']]
[['114.381721', '16.075379', '0.000000'], ['115.507804', '16.133908', '0.000000']]
[['115.507804', '16.133908', '0.000000'], ['116.632894', '16.209139', '0.000000']]
[['116.632894', '16.209139', '0.000000'], ['117.756744', '16.301053', '0.000000']]
[['117.756744', '16.301053', '0.000000'], ['118.879107', '16.409631', '0.000000']]
[['118.879107', '16.409631', '0.000000'], ['119.999735', '16.534850', '0.000000']]
[['119.999735', '16.534850', '0.000000'], ['121.118382', '16.676680', '0.000000']]
[['121.118382', '16.676680', '0.000000'], ['122.234802', '16.835092', '0.000000']]
[['122.234802', '16.835092', '0.000000'], ['123.348748', '17.010050', '0.000000']]
[['123.348748', '17.010050', '0.000000'], ['124.459976', '17.201516', '0.000000']]
[['124.459976', '17.201516', '0.000000'], ['125.568241', '17.409448', '0.000000']]
[['125.568241', '17.409448', '0.000000'], ['126.673300', '17.633799', '0.000000']]
[['126.673300', '17.633799', '0.000000'], ['127.774908', '17.874521', '0.000000']]
[['127.774908', '17.874521', '0.000000'], ['128.872823', '18.131560', '0.000000']]
[['128.872823', '18.131560', '0.000000'], ['129.966804', '18.404861', '0.000000']]
[['129.966804', '18.404861', '0.000000'], ['131.056609', '18.694362', '0.000000']]
[['131.056609', '18.694362', '0.000000'], ['132.142000', '19.000000', '0.000000']]
[['132.142000', '19.000000', '0.000000'], ['165.000000', '19.000000', '0.000000']]
[['165.000000', '19.000000', '0.000000'], ['165.000000', '9.500000', '0.000000']]
[['165.000000', '9.500000', '0.000000'], ['165.000000', '0.000000', '0.000000']]
[['165.000000', '0.000000', '0.000000'], ['132.142000', '0.000000', '0.000000']]
[['132.142000', '0.000000', '0.000000'], ['131.056609', '0.305638', '0.000000']]
[['131.056609', '0.305638', '0.000000'], ['129.966804', '0.595139', '0.000000']]
[['129.966804', '0.595139', '0.000000'], ['128.872823', '0.868440', '0.000000']]
[['128.872823', '0.868440', '0.000000'], ['127.774908', '1.125479', '0.000000']]
[['127.774908', '1.125479', '0.000000'], ['126.673300', '1.366201', '0.000000']]
[['126.673300', '1.366201', '0.000000'], ['125.568241', '1.590552', '0.000000']]
[['125.568241', '1.590552', '0.000000'], ['124.459976', '1.798484', '0.000000']]
[['124.459976', '1.798484', '0.000000'], ['123.348748', '1.989950', '0.000000']]
[['123.348748', '1.989950', '0.000000'], ['122.234802', '2.164908', '0.000000']]
[['122.234802', '2.164908', '0.000000'], ['121.118382', '2.323320', '0.000000']]
[['121.118382', '2.323320', '0.000000'], ['119.999735', '2.465150', '0.000000']]
[['119.999735', '2.465150', '0.000000'], ['118.879107', '2.590369', '0.000000']]
[['118.879107', '2.590369', '0.000000'], ['117.756744', '2.698947', '0.000000']]
[['117.756744', '2.698947', '0.000000'], ['116.632894', '2.790861', '0.000000']]
[['116.632894', '2.790861', '0.000000'], ['115.507804', '2.866092', '0.000000']]
[['115.507804', '2.866092', '0.000000'], ['114.381721', '2.924621', '0.000000']]
[['114.381721', '2.924621', '0.000000'], ['113.254895', '2.966437', '0.000000']]
[['113.254895', '2.966437', '0.000000'], ['112.127571', '2.991531', '0.000000']]
[['112.127571', '2.991531', '0.000000'], ['111.000000', '3.000000', '0.000000']]
[['111.000000', '3.000000', '0.000000'], ['82.500000', '3.000000', '0.000000']]
[['82.500000', '3.000000', '0.000000'], ['54.000000', '3.000000', '0.000000']]
